name,est,std
log_Fesp,-2.6408,0.12899
log_Fesp,-3.1893,0.13178
log_Fesp,-3.2539,0.13314
log_Fesp,-3.2227,0.13397
log_Fesp,-3.2661,0.1347
log_Fesp,-2.9965,0.13383
log_Fesp,-2.8952,0.13297
log_Fesp,-2.8501,0.13265
log_Fesp,-2.7097,0.13351
log_Fesp,-2.5327,0.13356
log_Fesp,-2.6344,0.13322
log_Fesp,-2.5919,0.13193
log_Fesp,-2.626,0.12939
log_Fesp,-2.6565,0.12859
log_Fesp,-2.5937,0.12891
log_Fesp,-2.435,0.12877
log_Fesp,-2.4629,0.12967
log_Fesp,-2.5915,0.13196
log_Fesp,-2.7223,0.13506
log_Fesp,-3.2097,0.13708
log_Fesp,-3.4196,0.13947
log_Fesp,-3.4233,0.14131
log_Fesp,-3.8116,0.14333
log_Fesp,-3.2018,0.14387
log_Fesp,-3.2328,0.14796
log_Fesp,-3.3178,0.15362
log_Fesp,-3.2524,0.16181
log_Fesp,-3.3557,0.17258
log_Fpal,-3.8526,0.26854
log_Fpal,-2.9164,0.27866
log_Fpal,-2.3757,0.29101
log_Fpal,-2.4267,0.30333
log_Fpal,-1.9562,0.311
log_Fpal,-2.5238,0.31869
log_Fpal,-2.9354,0.3204
log_Fpal,-3.1398,0.31958
log_Fpal,-2.7143,0.31706
log_Fpal,-2.9173,0.31506
log_Fpal,-3.2879,0.31187
log_Fpal,-2.718,0.31191
log_Fpal,-2.6721,0.31643
log_Fpal,-2.4456,0.32308
log_Fpal,-2.4038,0.32741
log_Fpal,-2.3762,0.32726
log_Fpal,-2.2386,0.33207
log_Fpal,-2.309,0.33283
log_Fpal,-2.5586,0.3318
log_Fpal,-2.413,0.33051
log_Fpal,-2.6213,0.33127
log_Fpal,-2.6301,0.33357
log_Fpal,-2.5235,0.33638
log_Fpal,-2.5768,0.33598
log_Fpal,-3.2987,0.34005
log_Fpal,-2.8179,0.33748
log_Fpal,-3.2699,0.33767
log_Fpal,-3.8394,0.33354
log_Fpal,-3.8466,0.32676
log_Fpal,-3.9766,0.32218
log_Fpal,-4.3428,0.32293
log_Fpal,-5.0885,0.32742
log_Fpal,-5.9605,0.3398
Ro_pl,171970000,9725000
Ro,171970000,9725000
spr,2648.1,3.2949e-14
So,455370,25752
SB,453970,25766
SB,429810,26300
SB,387400,28357
SB,359740,27928
SB,337710,26950
SB,312810,25979
SB,325200,26575
SB,310360,25329
SB,302190,23911
SB,315410,23027
SB,272180,20431
SB,245410,18702
SB,201840,16223
SB,205860,15790
SB,171960,14459
SB,142860,12820
SB,138540,12321
SB,131000,11629
SB,160990,13419
SB,155350,13241
SB,166380,14037
SB,152100,13461
SB,156290,13683
SB,142970,13022
SB,159960,13862
SB,159330,13656
SB,158050,13437
SB,157090,13057
SB,158640,12724
SB,158910,12537
SB,158200,12445
SB,157680,12604
SB,157120,12925
SB,155950,13401
SB,158590,13992
SB,159250,14691
SB,159380,15400
SB,164030,16253
SB,166570,17206
SB,163060,18108
SB,158800,19004
SB,150290,20032
SB,141400,21174
R,171970000,9725000
R,179550000,35875000
R,170550000,33513000
R,171470000,33373000
R,153750000,30376000
R,135470000,27433000
R,129820000,26246000
R,124470000,24451000
R,134730000,24578000
R,132500000,23279000
R,136500000,22609000
R,133540000,21409000
R,126060000,20032000
R,132710000,20013000
R,136450000,20210000
R,138020000,20296000
R,144690000,20941000
R,146520000,21270000
R,145300000,21531000
R,153100000,22100000
R,154240000,22243000
R,163280000,22827000
R,158560000,22354000
R,159230000,22356000
R,151770000,21808000
R,148610000,21696000
R,139880000,21267000
R,130450000,20889000
R,128070000,21330000
R,124550000,21794000
R,116320000,21851000
R,114970000,22979000
R,101060000,22522000
R,97883000,23903000
R,105810000,27796000
R,105560000,30637000
R,108800000,34696000
R,108270000,37773000
R,108880000,40593000
R,112900000,43913000
R,114770000,45772000
R,115710000,46764000
R,113600000,46299000
BT,1106100,62550
BT,1103800,61450
BT,1059000,60977
BT,1019100,57597
BT,992870,53419
BT,960940,49097
BT,922530,44964
BT,893380,41489
BT,870240,38582
BT,845520,36249
BT,808720,34338
BT,761050,32889
BT,706790,31922
BT,668200,31533
BT,639610,31507
BT,624010,31633
BT,612510,31747
BT,620690,31862
BT,628740,31733
BT,640660,31533
BT,654180,31267
BT,667520,30998
BT,678470,30770
BT,686910,30708
BT,691640,30840
BT,694230,31270
BT,696300,31966
BT,692040,32783
BT,685280,33702
BT,678560,34903
BT,664430,36235
BT,646620,37832
BT,627200,39484
BT,607550,41299
BT,588330,43294
BT,579130,45581
BT,566870,48031
BT,557220,50617
BT,557770,53410
BT,554490,56234
BT,547200,59072
BT,544490,62063
BT,536100,65118
B6,857830,48512
B6,854660,48787
B6,809140,50797
B6,768980,50325
B6,744720,49229
B6,719000,48109
B6,694550,44321
B6,679110,40666
B6,671670,37734
B6,656080,34772
B6,620400,31864
B6,571430,29458
B6,514160,27368
B6,476930,26211
B6,448110,25816
B6,433220,25970
B6,420080,26407
B6,421820,26846
B6,425370,27012
B6,433000,27131
B6,441500,27061
B6,450730,26886
B6,457470,26581
B6,460480,26287
B6,463740,25937
B6,466240,25722
B6,474150,25665
B6,476490,25651
B6,479190,25821
B6,480850,26322
B6,476290,27014
B6,466460,27923
B6,453860,28850
B6,442690,30113
B6,431510,31586
B6,426980,33160
B6,418780,34971
B6,406960,36474
B6,403340,38193
B6,398540,40548
B6,388750,43003
B6,384220,45858
B6,373600,48668
S_pal,1.3791e-05,1.3521e-05
S_pal,4.8563e-05,3.9529e-05
S_pal,0.00015864,0.00010628
S_pal,0.00048075,0.00026468
S_pal,0.0013515,0.00061981
S_pal,0.0035245,0.0013962
S_pal,0.0085264,0.0030875
S_pal,0.019135,0.0067058
S_pal,0.039836,0.014005
S_pal,0.076934,0.027397
S_pal,0.13783,0.049211
S_pal,0.22907,0.080113
S_pal,0.35316,0.117
S_pal,0.50509,0.15149
S_pal,0.67013,0.17051
S_pal,0.82477,0.16009
S_pal,0.94167,0.11149
S_pal,0.99737,0.026893
S_pal,1,3.5649e-11
S_pal,0.99996,5.5006e-05
S_pal,0.99988,0.00012235
S_pal,0.99977,0.00020569
S_pal,0.99962,0.00030723
S_pal,0.99944,0.00042832
S_arr,0.00018907,7.2176e-05
S_arr,0.00047133,0.00015402
S_arr,0.0011161,0.00031637
S_arr,0.0025103,0.00063332
S_arr,0.0053631,0.0012486
S_arr,0.010884,0.0024293
S_arr,0.02098,0.0046264
S_arr,0.038414,0.0085061
